
06.06.2024 21:00:03 chat: 24983876, user: Mauricio_loo, text: /start
06.06.2024 21:00:16 chat: 24983876, user: Mauricio_loo, text: no text
06.06.2024 21:03:12 chat: 24983876, user: Mauricio_loo, text: /start
06.06.2024 21:03:18 chat: 24983876, user: Mauricio_loo, text: no text
06.06.2024 21:08:13 chat: unknown, user: unknown, text: no text
06.06.2024 21:08:13 chat: unknown, user: unknown, text: no text
06.06.2024 21:08:14 chat: unknown, user: unknown, text: no text
06.06.2024 21:08:16 chat: unknown, user: unknown, text: no text
06.06.2024 21:08:22 chat: unknown, user: unknown, text: no text
06.06.2024 21:08:32 chat: unknown, user: unknown, text: no text
06.06.2024 21:08:53 chat: unknown, user: unknown, text: no text
06.06.2024 21:09:32 chat: unknown, user: unknown, text: no text
06.06.2024 21:10:36 chat: unknown, user: unknown, text: no text
06.06.2024 21:10:36 chat: unknown, user: unknown, text: no text
06.06.2024 21:10:37 chat: unknown, user: unknown, text: no text
06.06.2024 21:10:37 chat: unknown, user: unknown, text: no text
06.06.2024 21:10:39 chat: unknown, user: unknown, text: no text
06.06.2024 21:10:43 chat: unknown, user: unknown, text: no text
06.06.2024 21:10:52 chat: unknown, user: unknown, text: no text
06.06.2024 21:10:52 chat: unknown, user: unknown, text: no text
06.06.2024 21:10:52 chat: unknown, user: unknown, text: no text
06.06.2024 21:10:52 chat: unknown, user: unknown, text: no text
06.06.2024 21:10:57 chat: unknown, user: unknown, text: no text
06.06.2024 21:11:01 chat: unknown, user: unknown, text: no text
06.06.2024 21:11:10 chat: unknown, user: unknown, text: no text
06.06.2024 21:11:26 chat: unknown, user: unknown, text: no text
06.06.2024 21:11:58 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:02 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:03 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:03 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:03 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:05 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:09 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:10 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:10 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:12 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:20 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:28 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:28 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:29 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:31 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:35 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:43 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:49 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:52 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:54 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:57 chat: unknown, user: unknown, text: no text
06.06.2024 21:13:58 chat: unknown, user: unknown, text: no text
06.06.2024 21:14:00 chat: unknown, user: unknown, text: no text
06.06.2024 21:14:00 chat: unknown, user: unknown, text: no text
06.06.2024 21:14:00 chat: unknown, user: unknown, text: no text
06.06.2024 21:14:02 chat: unknown, user: unknown, text: no text
